bin,lower_bound,upper_bound,count,proportion,accuracy,confidence,absolute_gap
1,0.0,0.06666666666666667,0,0.0,0.0,0.03333333333333333,0.03333333333333333
2,0.06666666666666667,0.13333333333333333,0,0.0,0.0,0.1,0.1
3,0.13333333333333333,0.2,0,0.0,0.0,0.16666666666666669,0.16666666666666669
4,0.2,0.26666666666666666,0,0.0,0.0,0.23333333333333334,0.23333333333333334
5,0.26666666666666666,0.3333333333333333,0,0.0,0.0,0.3,0.3
6,0.3333333333333333,0.4,20,0.0010900964735379081,0.2,0.38090677133568623,0.18090677133568622
7,0.4,0.4666666666666667,891,0.04856379789611381,0.5925925925925926,0.43877375912829997,0.1538188334642926
8,0.4666666666666667,0.5333333333333333,733,0.03995203575516433,0.684856753069577,0.49526509539504177,0.18959165767453529
9,0.5333333333333333,0.6,373,0.020330299231481986,0.7453083109919572,0.5652085984065056,0.18009971258545154
10,0.6,0.6666666666666666,336,0.018313620755436855,0.8035714285714286,0.6332764765389547,0.1702949520324739
11,0.6666666666666666,0.7333333333333333,411,0.02240148253120401,0.8978102189781022,0.7041313870484319,0.19367883192967028
12,0.7333333333333333,0.8,1286,0.07009320324848749,0.9587869362363919,0.7737601252028472,0.18502681103354468
13,0.8,0.8666666666666667,1675,0.09129557965879981,0.9767164179104477,0.8297326294015517,0.14698378850889604
14,0.8666666666666667,0.9333333333333333,1003,0.05466833814792609,0.9621136590229312,0.8998019011549252,0.062311757868006024
15,0.9333333333333333,1.0,11619,0.6332915463018477,0.9678113434891127,0.9871822369723874,0.019370893483274698
